#depth (m)	age (yr BP)	1s (yr)	#	description
2714.32	398400	6000	#	18Oatm
2749.04	408600	6000	#	18Oatm
2772.27	422000	6000	#	18Oatm
2799.36	441000	6000	#	18Oatm
2812.69	454300	6000	#	18Oatm
2819.2	464600	6000	#	18Oatm
2829.36	474800	6000	#	18Oatm
2841.75	485300	6000	#	18Oatm
2856.27	495900	6000	#	18Oatm
2872.56	506600	6000	#	18Oatm
2890.33	517600	6000	#	18Oatm
2913.3	532000	6000	#	18Oatm
2921.99	545300	6000	#	18Oatm
2938.24	556400	6000	#	18Oatm
2968.08	567600	6000	#	18Oatm
2998.96	578600	6000	#	18Oatm
3008.93	589500	6000	#	18Oatm
3017.25	600100	6000	#	18Oatm
3027.54	610900	6000	#	18Oatm
3035.41	622100	6000	#	18Oatm
3043.01	634400	6000	#	18Oatm
3048.51	649100	6000	#	18Oatm
3056.77	660800	6000	#	18Oatm
3065.93	671700	6000	#	18Oatm
3077.74	682300	6000	#	18Oatm
3093.51	693200	6000	#	18Oatm
3112.43	704000	6000	#	18Oatm
3119.57	714400	6000	#	18Oatm
3124.27	724400	6000	#	18Oatm
3136.18	733900	6000	#	18Oatm
3143.2	741900	6000	#	18Oatm
3152.25	749200	6000	#	18Oatm
3158.91	758100	6000	#	18Oatm
3166.87	767700	6000	#	18Oatm
3174.81	777600	6000	#	18Oatm
3180.6	787700	6000	#	18Oatm
3189.83	797500	6000	#	18Oatm
