#ice age markers			
#Depth (m)	Ice Age (a B1950)	Uncertainty (a)	#	Source
178	7180	100	#	Raisbeck et al.. 1998
601	40650	950	#	Raisbeck et al. 1987. Yiou et al.. 1997; Singer et al.. 2009
1675	121800	4000	#	Suwa et Bender 2008
1853.7	132300	4000	#	Suwa et Bender 2008
2012.6	143900	4000	#	Suwa et Bender 2008
2103.9	157700	4000	#	Suwa et Bender 2008
2200.2	170700	4000	#	Suwa et Bender 2008
2321.1	181900	4000	#	Suwa et Bender 2008
2420.28	191950	6663	#	Lipenkov et al.. 2011
2422.5	192300	4000	#	Suwa et Bender 2008
2488.27	202950	6600	#	Lipenkov et al.. 2011
2512.8	203900	4000	#	Suwa et Bender 2008
2602.3	215500	4000	#	Suwa et Bender 2008
2668.3	226400	4000	#	Suwa et Bender 2008
2715.6	236000	4000	#	Suwa et Bender 2008
2780.6	246900	4000	#	Suwa et Bender 2008
2829.7	260100	4000	#	Suwa et Bender 2008
2848.45	260950	7215	#	Lipenkov et al.. 2011
2882.1	275200	4000	#	Suwa et Bender 2008
2883.02	275950	6343	#	Lipenkov et al.. 2011
2912.1	286300	4000	#	Suwa et Bender 2008
2962.7	296800	4000	#	Suwa et Bender 2008
3005.6	307700	4000	#	Suwa et Bender 2008
3011	307950	6424	#	Lipenkov et al.. 2011
3040.7	319200	4000	#	Suwa et Bender 2008
3043.04	318950	6308	#	Lipenkov et al.. 2011
3080.5	330000	4000	#	Suwa et Bender 2008
3130.6	339700	4000	#	Suwa et Bender 2008
3145.95	346950	6527	#	Lipenkov et al.. 2011
3157.1	349200	4000	#	Suwa et Bender 2008
3184.3	360000	4000	#	Suwa et Bender 2008
3185.46	359950	6704	#	Lipenkov et al.. 2011
3199.9	369600	4000	#	Suwa et Bender 2008
3210.1	375600	4000	#	Suwa et Bender 2008
3224.3	384700	4000	#	Suwa et Bender 2008
3239.4	395200	4000	#	Suwa et Bender 2008
3262.6	403600	4000	#	Suwa et Bender 2008
