#This is the raw Datice output, not the official AICC2012 file.
#Depth (m)	Ice age (a B1950)	Ice age std (a)	Gas age (a B1950)	Gas age std (a)	Accu. Rate (m ie)	Thinning	LIDIE (m ie)
0	-55	0.678198	-1	-1	0.0291	0.9948	-1
1.65	-41.54	1.66343	-1	-1	0.0291	0.9945	-1
3.3	-20.47	2.72996	-1	-1	0.0292	0.9942	-1
4.95	4.3	3.78258	-1	-1	0.0293	0.9941	-1
6.6	31.06	4.72145	-1	-1	0.029	0.9941	-1
8.25	57.05	5.64763	-1	-1	0.0288	0.994	-1
9.9	85.04	6.54165	-1	-1	0.0273	0.9939	-1
11.55	114.51	7.39178	-1	-1	0.0264	0.9938	-1
13.2	145	8.19259	-1	-1	0.0267	0.9939	-1
14.85	176.33	8.92132	-1	-1	0.0268	0.9938	-1
16.5	207.54	9.60761	-1	-1	0.027	0.9937	-1
18.15	239.98	10.2582	-1	-1	0.0265	0.9935	-1
19.8	274.2	10.8681	-1	-1	0.0261	0.9932	-1
21.45	310.09	11.424	-1	-1	0.0259	0.9926	-1
23.1	346.64	11.9479	-1	-1	0.0253	0.9922	-1
24.75	384.89	12.4303	-1	-1	0.0254	0.9919	-1
26.4	423.74	12.8618	-1	-1	0.0263	0.9916	-1
28.05	461.7	13.2644	-1	-1	0.0265	0.9913	-1
29.7	500.2	13.6509	-1	-1	0.0262	0.991	-1
31.35	539.86	14.0122	-1	-1	0.0265	0.9907	-1
33	579.52	14.3439	-1	-1	0.0274	0.9906	-1
34.65	618.15	14.6517	-1	-1	0.0284	0.9906	-1
36.3	655.8	14.973	-1	-1	0.0269	0.9905	-1
37.95	696.74	15.3151	-1	-1	0.0255	0.9904	-1
39.6	740.26	15.6624	-1	-1	0.0256	0.9905	-1
41.25	784.06	15.9856	-1	-1	0.0278	0.9906	-1
42.9	824.8	16.2751	-1	-1	0.0301	0.9905	-1
44.55	863.05	16.5521	-1	-1	0.0284	0.9903	-1
46.2	903.94	16.7988	-1	-1	0.0267	0.9901	-1
47.85	947.77	16.9909	-1	-1	0.0264	0.9899	-1
49.5	992.56	17.1196	-1	-1	0.0273	0.9897	-1
51.15	1037.03	17.1881	-1	-1	0.028	0.9894	-1
52.8	1080.33	17.199	-1	-1	0.0274	0.9892	-1
54.45	1124.67	17.1607	-1	-1	0.028	0.9888	-1
56.1	1169.43	17.0905	-1	-1	0.0291	0.9885	32.74
57.75	1212.13	16.9947	81.12	94.2602	0.0292	0.9881	33.93
59.4	1255.11	16.8772	85.86	97.9961	0.0285	0.9877	35.14
61.05	1300.31	16.7694	91.38	101.517	0.0284	0.9873	36.37
62.7	1345.56	16.688	95.77	104.796	0.0292	0.9868	37.63
64.35	1390.3	16.6365	100.11	108.345	0.0298	0.9866	38.85
66	1433.9	16.6025	105.07	112.116	0.0272	0.9861	40.1
67.65	1482.74	16.6073	110.46	116.51	0.0276	0.9858	41.41
69.3	1530.9	16.6663	113.69	124.753	0.0279	0.9855	42.7
70.95	1578.87	16.7953	117.98	128.689	0.0278	0.9853	44.02
72.6	1627.5	17.0164	121.44	131.857	0.0272	0.985	45.36
74.25	1677.8	17.3463	124.99	135.16	0.0276	0.9848	46.71
75.9	1727.92	17.8122	128.15	139.069	0.0273	0.9845	48.08
77.55	1778.58	18.4196	130.96	143.41	0.0275	0.9842	49.49
79.2	1829.26	19.1543	132.92	146.83	0.0271	0.9838	50.88
80.85	1881.37	19.9335	136.33	150.367	0.0284	0.9833	52.29
82.5	1930.73	20.7875	138.76	154.033	0.0285	0.9828	53.66
84.15	1980.74	21.7206	143.23	162.769	0.0279	0.9824	55.06
85.8	2031.85	22.7298	146.47	167.323	0.027	0.9819	56.48
87.45	2084.97	23.7239	149.45	171.633	0.0282	0.9815	58
89.1	2136.64	24.7266	150.21	176.462	0.028	0.981	59.46
90.75	2188.7	25.7538	152.65	180.504	0.027	0.9806	60.93
92.4	2243.55	26.6834	155.41	184.449	0.029	0.9801	62.41
94.05	2294.52	27.602	158.12	188.513	0.0286	0.9796	63.9
95.7	2346.95	28.6033	161	192.915	0.025	0.9791	65.4
97.35	2407.06	29.5163	163.44	195.105	0.0262	0.9787	66.46
99	2464.03	30.3726	178.57	211.179	0.0266	0.9782	65.47
100.65	2520.86	31.1184	255.47	230.411	0.0283	0.9777	64.16
102.3	2574.79	31.7799	348.57	235.677	0.0286	0.9772	65.62
103.95	2628.03	32.35	353.37	231.87	0.0293	0.9767	65.07
105.6	2680.49	32.8406	426.35	241.217	0.0284	0.9764	64.33
107.25	2734.89	33.2263	503.53	243.927	0.0291	0.9758	64.92
108.9	2788.15	33.508	538.32	249.592	0.0305	0.9754	66.48
110.55	2838.65	33.6985	539.94	243.537	0.0314	0.9748	66.38
