#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.500000000000000000e+01	0.000000000000000000e+00	-5.500000000000000000e+01	0.000000000000000000e+00	3.066313647564023262e-02	8.839030202212326852e-04	9.623367919720375863e-01	2.805021830701058538e-02	9.062510227198272617e+01	1.871587471669044689e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	1.500844083404580809e-01	1.000140000000000029e+00	3.675272409927768380e-02	9.317385714285710208e+01	2.228752335971400100e-01	8.114780821417129364e-02	1.133003961903258482e-03	inf	nan
5.500000000000000444e-01	-4.822224454234920188e+01	9.463237735318066890e-02	-5.500000000000000000e+01	0.000000000000000000e+00	3.066398126538139382e-02	8.835005177019757518e-04	9.624014215219887092e-01	2.800278314912084746e-02	9.063265964333631075e+01	1.871097342694818622e+01	5.500000000000000444e-01	0.000000000000000000e+00	3.099000000000000019e-02	1.502532317736363920e-01	1.000059999999999949e+00	3.680926050363304142e-02	9.317385714285710208e+01	2.230285302805120329e-01	8.115549384364222074e-02	1.125419133428337071e-03	inf	nan
1.100000000000000089e+00	-4.144513095519446466e+01	1.886136101075727156e-01	-5.500000000000000000e+01	0.000000000000000000e+00	3.066482614597898504e-02	8.830989116080487263e-04	9.624708616798450800e-01	2.795581211032774696e-02	9.064021824954018314e+01	1.870607132077316237e+01	1.100000000000000089e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.504178474048336600e-01	9.999850000000000128e-01	3.686579690798839903e-02	9.317385714285710208e+01	2.231818392268829221e-01	8.543515550211469578e-02	1.176681591166138128e-03	inf	nan
1.650000000000000133e+00	-3.500750002015875850e+01	2.772770956936011499e-01	-5.500000000000000000e+01	0.000000000000000000e+00	3.066562886616876898e-02	8.827168989829841609e-04	9.625451145682553111e-01	2.790927591989239565e-02	9.064740006457361687e+01	1.870141505075105215e+01	1.650000000000000133e+00	0.000000000000000000e+00	3.099000000000000365e-02	1.505740326831702114e-01	9.999149999999999983e-01	3.692233331234375665e-02	9.317385714285710208e+01	2.233274939866668751e-01	9.019091477235829935e-02	1.233665728405244433e-03	inf	nan
2.200000000000000178e+00	-2.890932481716631486e+01	3.606887684269181049e-01	-5.500000000000000000e+01	0.000000000000000000e+00	3.066638941018328887e-02	8.823556019085058164e-04	9.626039641699432048e-01	2.786259660740364463e-02	9.065420488733073512e+01	1.869699955501851463e+01	2.200000000000000178e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.507428955714436580e-01	9.998289999999999678e-01	3.697886971669911427e-02	9.317385714285710208e+01	2.234654922999156079e-01	7.379897003255399268e-02	1.002497787865111456e-03	inf	nan
2.750000000000000000e+00	-2.145664628036037413e+01	4.619245597925495384e-01	-5.500000000000000000e+01	0.000000000000000000e+00	3.066731906877846053e-02	8.819140074156265165e-04	9.626666618884941462e-01	2.781629502643194127e-02	9.066252329519436159e+01	1.869160475071939942e+01	2.750000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.509244373636977055e-01	9.997470000000000523e-01	3.703540612105447188e-02	9.317385714285710208e+01	2.236341712720684438e-01	7.732062311627614648e-02	1.043035398822011323e-03	inf	nan
3.300000000000000266e+00	-1.434340820967255326e+01	5.578767462101740238e-01	-5.500000000000000000e+01	0.000000000000000000e+00	3.066820656882103535e-02	8.814923471870714060e-04	9.627283941621149754e-01	2.777029588501042992e-02	9.067046495322367150e+01	1.868645457699840406e+01	3.300000000000000266e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.511017720129337882e-01	9.996639999999999970e-01	3.709194252540982950e-02	9.317385714285710208e+01	2.237951961478401308e-01	7.732781917519106207e-02	1.035846014127485195e-03	inf	nan
3.850000000000000533e+00	-7.230832090670148204e+00	6.531488032821600731e-01	-5.500000000000000000e+01	0.000000000000000000e+00	3.079774799985688510e-02	8.847670470637423968e-04	9.627795286265579122e-01	2.772427809018351841e-02	9.067840796637484857e+01	1.868130365345548327e+01	3.850000000000000533e+00	0.000000000000000000e+00	3.111999999999997060e-02	1.512913676041211519e-01	9.995699999999999585e-01	3.714847892976518712e-02	9.317385714285710208e+01	2.239562343931686961e-01	6.795116302458893698e-02	9.038485856280122945e-04	inf	nan
4.400000000000000355e+00	8.632162746385603214e-01	7.608041097855352541e-01	-5.500000000000000000e+01	0.000000000000000000e+00	3.086803994944120610e-02	8.862749654583165293e-04	9.628229506085089762e-01	2.767837489157576672e-02	9.068744948324848565e+01	1.867544036766881632e+01	4.400000000000000355e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.515055889755790586e-01	9.994680000000000231e-01	3.720501533412054473e-02	9.317385714285710208e+01	2.241395267572709182e-01	6.054168349657943621e-02	7.995865610857372501e-04	inf	nan
4.950000000000000178e+00	9.947866192427426313e+00	8.807771814526955678e-01	-5.500000000000000000e+01	0.000000000000000000e+00	3.086918144804183181e-02	8.857335012544996977e-04	9.628682914749087107e-01	2.763281831863710625e-02	9.069760046075758453e+01	1.866885545911661026e+01	4.950000000000000178e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.517238006040093901e-01	9.993680000000000341e-01	3.726155173847590235e-02	9.317385714285710208e+01	2.243452886687732073e-01	6.539056859079957207e-02	8.574541626272862106e-04	inf	nan
