#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	7.000000000000000000e+01	0.000000000000000000e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.703520170250618082e-02	1.654920644966750625e-03	1.027131752497986827e+00	2.857848251600164993e-02	9.718939241754350178e+01	2.040083444398987922e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.439430000000000154e-02	1.511633083020889334e-01	9.940799999999999637e-01	3.394040127770332066e-02	8.383542857142859361e+01	2.246964977271400099e-01	1.184038743491193785e-01	2.671235793083088020e-03	inf	nan
1.900000000000000000e+01	7.844566958215787622e+01	1.905371329020609239e-01	7.000000000000000000e+01	0.000000000000000000e+00	7.014307979623375655e-02	1.729606466702130136e-03	1.026787192995445963e+00	2.836786650070122554e-02	9.717160798017374645e+01	2.038682752675268262e+01	1.000000000000000000e+00	0.000000000000000000e+00	6.738280000000000658e-02	1.513811250524470797e-01	9.939700000000000202e-01	3.395101862390995789e-02	8.383542857142859361e+01	2.249795875543369739e-01	1.209037749258942696e-01	2.691765966765876164e-03	inf	nan
2.000000000000000000e+01	8.671670992488439822e+01	3.746798500392193865e-01	7.000000000000000000e+01	0.000000000000000000e+00	5.938728027148546668e-02	1.462699746053047929e-03	1.026411752986104986e+00	2.815885286138939195e-02	9.715419912677259617e+01	2.037312639345893217e+01	2.000000000000000000e+00	0.000000000000000000e+00	5.705279999999998686e-02	1.516177987633040014e-01	9.938299999999999912e-01	3.396163597011659513e-02	8.383542857142859361e+01	2.252567490821403839e-01	1.010302655020411666e-01	2.219423168771268544e-03	inf	nan
2.100000000000000000e+01	9.661473399748071245e+01	5.921143934794145247e-01	7.000000000000000000e+01	0.000000000000000000e+00	7.282665377992990352e-02	1.791241280199622459e-03	1.026026104375563408e+00	2.795211036412257807e-02	9.713337551182429763e+01	2.035674580339314943e+01	3.000000000000000000e+00	0.000000000000000000e+00	6.996760000000001867e-02	1.518528578910748883e-01	9.936800000000000077e-01	3.397225331632323236e-02	8.383542857142859361e+01	2.255883413208977784e-01	1.226757552471168661e-01	2.658474268287148220e-03	inf	nan
2.200000000000000000e+01	1.047663039469430970e+02	7.687575558848498414e-01	7.000000000000000000e+01	0.000000000000000000e+00	7.991319823612090534e-02	1.963315283484061945e-03	1.025630254094615612e+00	2.774767951837740082e-02	9.711623423140085265e+01	2.034327323213624794e+01	4.000000000000000000e+00	0.000000000000000000e+00	7.677929999999999477e-02	1.520569571302705925e-01	9.935199999999999587e-01	3.398287066252986960e-02	8.383542857142859361e+01	2.258613499432877425e-01	1.328885315263212130e-01	2.840683210162121310e-03	inf	nan
2.300000000000000000e+01	1.122914077953660978e+02	9.296046116029297313e-01	7.000000000000000000e+01	0.000000000000000000e+00	7.071232910345259803e-02	1.735454396456604514e-03	1.025234529946849049e+00	2.754585241619941435e-02	9.710041723054516183e+01	2.033084974387439203e+01	5.000000000000000000e+00	0.000000000000000000e+00	6.794200000000000239e-02	1.522663198928287387e-01	9.933600000000000207e-01	3.399348800873650683e-02	8.383542857142859361e+01	2.261133095573898133e-01	1.168173353321953906e-01	2.462935710643137949e-03	inf	nan
2.400000000000000000e+01	1.208517811094490071e+02	1.110066612232356587e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.588333224089661100e-02	1.615020918233098278e-03	1.024828613340059702e+00	2.734639731218855771e-02	9.708243210180395977e+01	2.031673244026602276e+01	6.000000000000000000e+00	0.000000000000000000e+00	6.330510000000000304e-02	1.524984925885605469e-01	9.931900000000000173e-01	3.400410535494315101e-02	8.383542857142859361e+01	2.263998566064207019e-01	1.077315356931725920e-01	2.239767258072409943e-03	inf	nan
2.500000000000000000e+01	1.301341142124326495e+02	1.303014338192441057e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.459018984415934084e-02	1.826105938121937514e-03	1.024371246254847767e+00	2.714834204458278777e-02	9.706293919721896657e+01	2.030144207232764231e+01	7.000000000000000000e+00	0.000000000000000000e+00	7.167479999999998297e-02	1.527264564751029119e-01	9.929700000000000193e-01	3.401472270114978824e-02	8.383542857142859361e+01	2.267104861618702838e-01	1.213376957302000486e-01	2.487032273157890969e-03	inf	nan
2.600000000000000000e+01	1.383755761421494128e+02	1.471896029977246778e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.829379051245436372e-02	1.670055705387538244e-03	1.023914033024715398e+00	2.695309144129594617e-02	9.704564015463510884e+01	2.028788119374860344e+01	8.000000000000000000e+00	0.000000000000000000e+00	6.562740000000000240e-02	1.529515204581909371e-01	9.927500000000000213e-01	3.402534004735642548e-02	8.383542857142859361e+01	2.269862076382698213e-01	1.103220515996873041e-01	2.229101615715150999e-03	inf	nan
2.700000000000000000e+01	1.474399470951895523e+02	1.654983830415876156e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.144949810724748690e-02	1.500807395978739434e-03	1.023456973603599218e+00	2.676069389566044024e-02	9.702662248217710328e+01	2.027298588601959040e+01	9.000000000000000000e+00	0.000000000000000000e+00	5.905320000000002789e-02	1.532021651485084013e-01	9.925300000000000233e-01	3.403595739356306271e-02	8.383542857142859361e+01	2.272893782869227775e-01	9.790770649958763228e-02	1.949717703962665187e-03	inf	nan
2.800000000000000000e+01	1.576536476888625202e+02	1.858292257984323514e+00	7.000000000000000000e+01	0.000000000000000000e+00	5.986838965805871965e-02	1.460133497881385602e-03	1.023000067945449176e+00	2.657122541741099506e-02	9.700520376040134352e+01	2.025621986875976077e+01	1.000000000000000000e+01	0.000000000000000000e+00	5.753690000000000193e-02	1.534723997039165178e-01	9.923100000000000254e-01	3.404657473976969995e-02	8.383542857142859361e+01	2.276308964748405272e-01	9.454713772658865367e-02	1.855170054335602593e-03	inf	nan
2.900000000000000000e+01	1.682303824694732270e+02	2.065716983331936429e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.303632532027714230e-02	1.535160362004898103e-03	1.022502088159335187e+00	2.638359979874285721e-02	9.698303491724411174e+01	2.023888321630804299e+01	1.100000000000000000e+01	0.000000000000000000e+00	6.058490000000005260e-02	1.537416089789833407e-01	9.920499999999999874e-01	3.405719208597633718e-02	8.383542857142859361e+01	2.279844546554131990e-01	9.861426131971839926e-02	1.906200307572318347e-03	inf	nan
3.000000000000000000e+01	1.783709035930649520e+02	2.261605197388540933e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.108366603692656271e-02	1.728733434975227587e-03	1.021983671294587781e+00	2.619846843457235633e-02	9.696179111686271312e+01	2.022228133472960110e+01	1.200000000000000000e+01	0.000000000000000000e+00	6.832300000000002260e-02	1.539914208998271750e-01	9.917700000000000404e-01	3.406780943218297442e-02	8.383542857142859361e+01	2.283233356967409311e-01	1.100195455206944284e-01	2.094729024782842914e-03	inf	nan
3.100000000000000000e+01	1.874601976386570925e+02	2.434525214613010302e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.768490039545226045e-02	1.644027427990269689e-03	1.021475738181050197e+00	2.601671851236203592e-02	9.694275884475213445e+01	2.020741923924173378e+01	1.300000000000000000e+01	0.000000000000000000e+00	6.505939999999998946e-02	1.542342676380665800e-01	9.915000000000000480e-01	3.407842677838961165e-02	8.383542857142859361e+01	2.286270015069196693e-01	1.040610647380512399e-01	1.951321743933517004e-03	inf	nan
3.200000000000000000e+01	1.970699397887807720e+02	2.614548784150903860e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.400072438795219310e-02	1.552497548245318840e-03	1.020957681792774796e+00	2.583783202778800955e-02	9.692264635968852815e+01	2.019172966551753134e+01	1.400000000000000000e+01	0.000000000000000000e+00	6.152130000000000098e-02	1.544924507542575209e-01	9.912199999999999900e-01	3.408904412459624889e-02	8.383542857142859361e+01	2.289479672456569692e-01	9.731727693482741803e-02	1.796884192307124763e-03	inf	nan
3.300000000000000000e+01	2.073456074964755942e+02	2.804058990014989483e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.000243111637408089e-02	1.695700702115522911e-03	1.020398615937593956e+00	2.566105405615497909e-02	9.690115069771196943e+01	2.017497073418568121e+01	1.500000000000000000e+01	0.000000000000000000e+00	6.729420000000008173e-02	1.547489911265688967e-01	9.909000000000000030e-01	3.409966147080288612e-02	8.383542857142859361e+01	2.292910800979663100e-01	1.053906112761518327e-01	1.915665239660186000e-03	inf	nan
3.400000000000000000e+01	2.168341187394717053e+02	2.976288819464374402e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.644558014851946470e-02	1.607460324388685193e-03	1.019829454482589881e+00	2.548729058578251203e-02	9.688131147412481425e+01	2.015951724721944771e+01	1.600000000000000000e+01	0.000000000000000000e+00	6.387819999999999609e-02	1.550028071433360299e-01	9.905699999999999505e-01	3.411027881700952336e-02	8.383542857142859361e+01	2.296078204982807125e-01	9.929104540220641539e-02	1.776484222247945357e-03	inf	nan
3.500000000000000000e+01	2.269055204046391623e+02	3.156184489295717377e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.779656748458276483e-02	1.637892643744075574e-03	1.019260497375541696e+00	2.531685053290249829e-02	9.686026374936719208e+01	2.014313489317678929e+01	1.700000000000000000e+01	0.000000000000000000e+00	6.518050000000008559e-02	1.552622609045103685e-01	9.902400000000000091e-01	3.412089616321616753e-02	8.383542857142859361e+01	2.299439259745152397e-01	1.007210022995819743e-01	1.773389213382534080e-03	inf	nan
3.600000000000000000e+01	2.368339362977378642e+02	3.330651803424949264e+00	7.000000000000000000e+01	0.000000000000000000e+00	5.693390179163047154e-02	1.373608990150741250e-03	1.018691744553333001e+00	2.514975728604051594e-02	9.683952510045530460e+01	2.012700587450357403e+01	1.800000000000000000e+01	0.000000000000000000e+00	5.473989999999995248e-02	1.555464356847052476e-01	9.899099999999999566e-01	3.413151350942280476e-02	8.383542857142859361e+01	2.302751673438233337e-01	8.344869641711930019e-02	1.445636750511074655e-03	inf	nan
3.700000000000000000e+01	2.488173469792120045e+02	3.537776680347374025e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.000905029376804090e-02	1.686320312505246123e-03	1.018092330640431253e+00	2.498532506486338470e-02	9.681450681093083688e+01	2.010756652378700338e+01	1.900000000000000000e+01	0.000000000000000000e+00	6.731550000000008360e-02	1.558279970524040769e-01	9.895500000000000407e-01	3.414213085562944200e-02	8.383542857142859361e+01	2.306748583082285364e-01	1.027490455774801442e-01	1.750730801917987130e-03	inf	nan
3.800000000000000000e+01	2.585497974791626348e+02	3.703168642740390926e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.448305732532367607e-02	1.791724479918085488e-03	1.017482848640594906e+00	2.482412822264697463e-02	9.679419857396061388e+01	2.009179997024951803e+01	2.000000000000000000e+01	0.000000000000000000e+00	7.162109999999999310e-02	1.560739964122850598e-01	9.891799999999999482e-01	3.415274820183607923e-02	8.383542857142859361e+01	2.309993776605673843e-01	1.081522951774814834e-01	1.812474500662644272e-03	inf	nan
3.900000000000000000e+01	2.677960182677179546e+02	3.857647584243618422e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.290464260179413403e-02	1.751563443082640057e-03	1.016863305423900243e+00	2.466616498431729171e-02	9.677491421519289361e+01	2.007684192108117571e+01	2.100000000000000000e+01	0.000000000000000000e+00	7.010680000000002465e-02	1.563166293630395554e-01	9.888000000000000123e-01	3.416336554804271647e-02	8.383542857142859361e+01	2.313075987860656879e-01	1.055075783354944285e-01	1.738796363519511069e-03	inf	nan
4.000000000000000000e+01	2.772740104250224249e+02	4.013290464646452449e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.339115814247162084e-02	1.521051295063744315e-03	1.016243989356981237e+00	2.451182454043512177e-02	9.675515587027121001e+01	2.006152715148251886e+01	2.200000000000000000e+01	0.000000000000000000e+00	6.096150000000011282e-02	1.565813790363989877e-01	9.884199999999999653e-01	3.417398289424935370e-02	8.383542857142859361e+01	2.316234593218925719e-01	9.125107077691904656e-02	1.478563051545861125e-03	inf	nan
4.100000000000000000e+01	2.882327859384045610e+02	4.190129571734348524e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.500068803907842196e-02	1.557373827225992918e-03	1.015594062804735964e+00	2.436037659130580943e-02	9.673232192237711047e+01	2.004384079541797092e+01	2.300000000000000000e+01	0.000000000000000000e+00	6.251300000000004076e-02	1.568636603635744364e-01	9.880100000000000549e-01	3.418460024045599094e-02	8.383542857142859361e+01	2.319885673662673287e-01	9.227505542391313542e-02	1.469556571275851395e-03	inf	nan
4.200000000000000000e+01	2.990699509274255092e+02	4.361915705037695545e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.750798836355871579e-02	1.615090504777939515e-03	1.014944377126921093e+00	2.421263362195200455e-02	9.670975306056575960e+01	2.002637696738356254e+01	2.400000000000000000e+01	0.000000000000000000e+00	6.492809999999993309e-02	1.571404155611195730e-01	9.876000000000000334e-01	3.419521758666262817e-02	8.383542857142859361e+01	2.323495214625742322e-01	9.489369423872917597e-02	1.485104526548594985e-03	inf	nan
4.300000000000000000e+01	3.096080589442158271e+02	4.525953204799965768e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.698455948259224302e-02	1.600305809646261276e-03	1.014294932248078762e+00	2.406864510243851216e-02	9.668781824942105629e+01	2.000941893870210109e+01	2.500000000000000000e+01	0.000000000000000000e+00	6.442829999999988289e-02	1.574154531495107201e-01	9.871900000000000119e-01	3.420583493286926541e-02	8.383542857142859361e+01	2.327004156248292654e-01	9.336579078417600597e-02	1.435663876839622828e-03	inf	nan
4.400000000000000000e+01	3.203186199709156199e+02	4.689649316122505240e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.159873840884938501e-02	1.469527558971278538e-03	1.013635455836260357e+00	2.392816843645143368e-02	9.666553584376777053e+01	1.999220778006148080e+01	2.600000000000000000e+01	0.000000000000000000e+00	5.925139999999995410e-02	1.577047519662378994e-01	9.867700000000000360e-01	3.421645227907590264e-02	8.383542857142859361e+01	2.330569518200596713e-01	8.586423052094821484e-02	1.296975101592971356e-03	inf	nan
4.500000000000000000e+01	3.319649131238721225e+02	4.864354500674991755e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.019460348885145362e-02	1.671992856115061838e-03	1.012965954744515118e+00	2.379139708348893684e-02	9.664131938505724406e+01	1.997351961622672079e+01	2.700000000000000000e+01	0.000000000000000000e+00	6.752390000000008108e-02	1.579888008574107938e-01	9.863399999999999945e-01	3.422706962528253988e-02	8.383542857142859361e+01	2.334445276079752940e-01	9.698592166760609812e-02	1.438670438128518891e-03	inf	nan
4.600000000000000000e+01	3.422756879539267061e+02	5.016111069889976015e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.973721042684949412e-02	1.658818413984133920e-03	1.012286435822800312e+00	2.365817867249869061e-02	9.661989111982548195e+01	1.995699785355341405e+01	2.800000000000000000e+01	0.000000000000000000e+00	6.708760000000002499e-02	1.582567526300389105e-01	9.858999999999999986e-01	3.423768697148917711e-02	8.383542857142859361e+01	2.337875603517924616e-01	9.607950528103603727e-02	1.399549902892740973e-03	inf	nan
4.700000000000000000e+01	3.526837348841743278e+02	5.166383599384916536e+00	7.000000000000000000e+01	0.000000000000000000e+00	6.924449173612089170e-02	1.644820281862603966e-03	1.011607171247583148e+00	2.352901346342197580e-02	9.659827156928875524e+01	1.994034342805806048e+01	2.900000000000000000e+01	0.000000000000000000e+00	6.661730000000010143e-02	1.585286455963418883e-01	9.854600000000000026e-01	3.424830431769582129e-02	8.383542857142859361e+01	2.341337323796139624e-01	9.414932072285649156e-02	1.346469312447305536e-03	inf	nan
4.800000000000000000e+01	3.633051604273671273e+02	5.316770415858724341e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.529993703179525821e-02	1.786142631676362154e-03	1.010928160938844744e+00	2.340375854212985510e-02	9.657621995970040985e+01	1.992337159929401480e+01	3.000000000000000000e+01	0.000000000000000000e+00	7.244709999999998651e-02	1.587921365579866850e-01	9.850200000000000067e-01	3.425892166390245852e-02	8.383542857142859361e+01	2.344869023561876875e-01	1.024194235318637292e-01	1.437792702680411924e-03	inf	nan
4.900000000000000000e+01	3.730689334063166598e+02	5.452287660199245600e+00	7.000000000000000000e+01	0.000000000000000000e+00	7.382028144226554511e-02	1.748782882865041214e-03	1.010239144102324627e+00	2.328236267468766774e-02	9.655595910454761110e+01	1.990779038382615695e+01	3.100000000000000000e+01	0.000000000000000000e+00	7.102720000000006806e-02	1.590475965759451105e-01	9.845699999999999452e-01	3.426953901010909576e-02	8.383542857142859361e+01	2.348114633991481570e-01	9.994229091390295638e-02	1.377084485014960042e-03	inf	nan
