#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
8.000000000000000000e+00	-3.000000000000000000e+01	0.000000000000000000e+00	-3.000000000000000000e+01	0.000000000000000000e+00	3.533130644583633573e-01	4.489830729426103062e-03	7.159241897750505679e-01	9.187723511508894339e-03	6.533018294062108566e+01	1.476662276900242432e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.661119999999999930e-01	1.500116712603319913e-01	9.986000000000000432e-01	2.865284122141995363e-02	7.036914285714290429e+01	2.312812011485700092e-01	5.097351614059114633e-01	3.569380267176793962e-04	inf	nan
9.000000000000000000e+00	-2.803819693889297682e+01	1.373716381755311477e-03	-3.000000000000000000e+01	0.000000000000000000e+00	3.206345663351054531e-01	4.073904397041432437e-03	7.181040382970425018e-01	9.210543436054166588e-03	6.532955887333847045e+01	1.476539986228664780e+01	1.000000000000000000e+00	0.000000000000000000e+00	3.322499999999999343e-01	1.500368377648704787e-01	9.983999999999999542e-01	2.861959241245985719e-02	7.036914285714290429e+01	2.313033575095040373e-01	4.422710781336752772e-01	3.052362481417444191e-04	inf	nan
1.000000000000000000e+01	-2.577714020368915726e+01	2.934210604085763213e-03	-3.000000000000000000e+01	0.000000000000000000e+00	3.277359627511717277e-01	4.163366974124713127e-03	7.202904951255353350e-01	9.233456443092280877e-03	6.532883728428951997e+01	1.476398582928657532e+01	2.000000000000000000e+00	0.000000000000000000e+00	3.396090000000000497e-01	1.500638971639871866e-01	9.981999999999999762e-01	2.858634360349976422e-02	7.036914285714290429e+01	2.313289764652145253e-01	4.414519368607687233e-01	3.002793584316009443e-04	inf	nan
1.100000000000000000e+01	-2.351188793837767221e+01	4.475050705079799615e-03	-3.000000000000000000e+01	0.000000000000000000e+00	3.615042410686034047e-01	4.591489224418663154e-03	7.224111870495866228e-01	9.255508190766679327e-03	6.532811201862506323e+01	1.476256734765617651e+01	3.000000000000000000e+00	0.000000000000000000e+00	3.746009999999999618e-01	1.500899511170984690e-01	9.979000000000000092e-01	2.855309479453967125e-02	7.036914285714290429e+01	2.313547262388813697e-01	4.809806707157389116e-01	3.224010565762768584e-04	inf	nan
1.200000000000000000e+01	-2.143280231002608360e+01	5.868511207694316473e-03	-3.000000000000000000e+01	0.000000000000000000e+00	3.095125213743875614e-01	3.930470652315410166e-03	7.246106853820670768e-01	9.278541430632529161e-03	6.532744420516604578e+01	1.476126010295388369e+01	4.000000000000000000e+00	0.000000000000000000e+00	3.207260000000000666e-01	1.501171221320214688e-01	9.977000000000000313e-01	2.851984598557957482e-02	7.036914285714290429e+01	2.313784364868806120e-01	4.105139389149903284e-01	2.710908479372622698e-04	inf	nan
1.300000000000000000e+01	-1.899683143253760420e+01	7.477028162102601454e-03	-3.000000000000000000e+01	0.000000000000000000e+00	2.734034217330600369e-01	3.471228039068089723e-03	7.268168512380156487e-01	9.301634832330849673e-03	6.532665922810338088e+01	1.475972376856574719e+01	5.000000000000000000e+00	0.000000000000000000e+00	2.833090000000000330e-01	1.501490272330428533e-01	9.975000000000000533e-01	2.848659717661948185e-02	7.036914285714290429e+01	2.314063068562656478e-01	3.510473502002822155e-01	2.283900601817850928e-04	inf	nan
1.400000000000000000e+01	-1.614821286461657479e+01	9.330001717233636291e-03	-3.000000000000000000e+01	0.000000000000000000e+00	3.462207384784205533e-01	4.394701974258420456e-03	7.290297047281961706e-01	9.324788407033397092e-03	6.532573831140882703e+01	1.475792220264955290e+01	6.000000000000000000e+00	0.000000000000000000e+00	3.587650000000000006e-01	1.501802840419386165e-01	9.972999999999999643e-01	2.845334836765938888e-02	7.036914285714290429e+01	2.314390041474208848e-01	4.322702673781412819e-01	2.770828452165262725e-04	inf	nan
1.500000000000000000e+01	-1.383484533632155333e+01	1.081245179031956917e-02	-3.000000000000000000e+01	0.000000000000000000e+00	3.085107090629881643e-01	3.915285083650530198e-03	7.312492660236802333e-01	9.347991269488742025e-03	6.532498801670143962e+01	1.475645491461630776e+01	7.000000000000000000e+00	0.000000000000000000e+00	3.196889999999998899e-01	1.502102499676584990e-01	9.970999999999999863e-01	2.842009955869929244e-02	7.036914285714290429e+01	2.314656438190134113e-01	3.819555559439848924e-01	2.411093292021856244e-04	inf	nan
1.600000000000000000e+01	-1.121673968387581866e+01	1.246457622900486346e-02	-3.000000000000000000e+01	0.000000000000000000e+00	3.058043867006436933e-01	3.880092008826030968e-03	7.334019797160065135e-01	9.370322234436451528e-03	6.532413614154624781e+01	1.475478914662064334e+01	8.000000000000000000e+00	0.000000000000000000e+00	3.168850000000000833e-01	1.502424781045983981e-01	9.968000000000000194e-01	2.838685074973919947e-02	7.036914285714290429e+01	2.314958905373295239e-01	3.746788976222151790e-01	2.329167221368660425e-04	inf	nan
1.700000000000000000e+01	-8.547787665637819998e+00	1.412292908980618440e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.941319547788213140e-01	3.731160922169487765e-03	7.356347785704827613e-01	9.393656948800609488e-03	6.532326491595816265e+01	1.475308587834049057e+01	9.000000000000000000e+00	0.000000000000000000e+00	3.047900000000001164e-01	1.502759662311478339e-01	9.966000000000000414e-01	2.835360194077910651e-02	7.036914285714290429e+01	2.315268247209862074e-01	3.562645230418241549e-01	2.180610595703072626e-04	inf	nan
1.800000000000000000e+01	-5.740884549206541010e+00	1.584002321574431299e-02	-3.000000000000000000e+01	0.000000000000000000e+00	3.153506588244980313e-01	3.999387061938396333e-03	7.378002913029784171e-01	9.416097920110331684e-03	6.532234569881549646e+01	1.475128901688049687e+01	1.000000000000000000e+01	0.000000000000000000e+00	3.267780000000000129e-01	1.503094313808852889e-01	9.962999999999999634e-01	2.832035313181901007e-02	7.036914285714290429e+01	2.315594633647471701e-01	3.776466057830473733e-01	2.275673564816476659e-04	inf	nan
