#tiré du fichier Gnumeric TALDICE
#ztop (m)	d18O (pm)	deut	Bintanja Isotot
0	-34.92	-267.9513848	-0.00031771151441
1	-34.92	-267.9513848	-0.00039714950201
2	-34.92	-267.9513848	-0.00047761517824
3	-34.92	-266.5273848	-0.00055911360644
4	-34.92	-266.3513848	-0.00062777002215
5	-35.36	-269.0890292	-0.00068345594338
6	-36.70	-279.6724736	-0.00073983933576
7	-35.08	-267.6091528	-0.00079692306952
8	-34.97	-265.3902544	-0.00085470988323
9	-37.28	-285.0305048	-0.00091320238173
10	-33.82	-258.344888	-0.00097240303408
11	-33.89	-258.8866792	-0.0010323368782
12	-35.12	-265.5437896	-0.0010930031475
13	-35.32	-266.9361	-0.00115438464493
14	-36.34	-279.9582616	-0.00121098113118
15	-38.25	-295.6733896	-0.00126192304313
16	-36.10	-277.5861464	-0.00132879812416
17	-36.85	-282.4259832	-0.0014015970569
18	-35.30	-269.9521032	-0.00147197195361
19	-36.40	-278.697584	-0.00154313145008
20	-36.02	-275.664152	-0.00161909786771
21	-35.98	-274.5648336	-0.00168677831334
22	-36.68	-279.1765568	-0.00176465555022
23	-36.61	-280.7770032	-0.00182389543201
24	-35.89	-274.7858176	-0.00186027931781
25	-36.06	-275.9471072	-0.00189991605733
26	-37.57	-287.8640064	-0.00193470618861
27	-37.38	-285.2634648	-0.00197259861755
28	-35.95	-273.6914272	-0.00201472540409
29	-35.18	-267.4683168	-0.00205942518833
30	-35.84	-272.7073296	-0.00209759051156
31	-36.37	-276.8986312	-0.00214882783073
32	-35.18	-267.354564	-0.00218805782492
33	-38.00	-292.2094832	-0.00218708023144
34	-36.52	-279.9747848	-0.00216760402073
35	-36.57	-279.7450064	-0.00214651052477
36	-36.03	-274.0056048	-0.00212498057068
37	-35.73	-269.1074352	-0.00210040401259
38	-36.63	-278.3880304	-0.00201227592071
39	-36.24	-276.3297152	-0.00192635577087
40	-35.46	-270.0686696	-0.00182736259697
41	-37.42	-285.6791312	-0.00173502680406
42	-36.49	-278.153756	-0.00159551038345
43	-36.18	-273.64353	-0.00143785116973
44	-35.43	-268.789264	-0.00126793076876
45	-36.79	-281.325046	-0.00109324462421
46	-36.48	-278.814808	-0.00086668398481
47	-36.13	-275.762466	-0.00062481234449
48	-36.49	-278.357522	-0.00038972332246
49	-35.45	-269.701186	-0.00016086983818
50	-37.06	-282.3993644	0.00015141582635
51	-37.95	-289.465634	0.00045338044824
52	-35.96	-273.5004724	0.00075734258147
53	-35.93	-274.1388292	0.00108404238899
54	-37.14	-284.3619344	0.00142960273433
55	-36.55	-279.998116	0.00175293369814
56	-36.70	-279.970449866667	0.00217800232183
57	-35.13	-266.5460724	0.00254725792423
58	-36.82	-280.1581424	0.00294399169774
59	-37.70	-287.4753216	0.00331288410645
60	-37.32	-284.9810968	0.00370422580174
61	-36.24	-277.287776	0.00415754568118
62	-38.66	-297.4966984	0.00452684370986
63	-35.49	-270.834636	0.00498868056219
64	-36.45	-277.6980416	0.00544966026638
65	-36.36	-276.5855392	0.00582159263838
66	-37.33	-284.4488872	0.00623950893823
67	-38.28	-292.0891408	0.00675967576853
68	-36.22	-274.8908248	0.00734778623986
69	-35.90	-273.7428544	0.00791895307922
70	-35.01	-269.2006792	0.0084935123139
71	-36.59	-281.2169232	0.00906320253493
72	-36.03	-275.5343184	0.00966152651582
73	-36.37	-278.6228128	0.01029090708112
74	-37.04	-284.455276	0.01091954788603
75	-35.70	-274.3040744	0.01150361305776
76	-37.01	-284.4604896	0.01209384797948
77	-35.71	-273.5045904	0.01265962887085
78	-36.15	-278.2940756	0.013243359907
79	-36.26	-278.2177096	0.01380018915015
80	-36.89	-281.4065628	0.01433904014234
81	-36.08	-275.809336	0.01486803666629
82	-35.94	-276.9863948	0.01538238106317
83	-36.34	-278.296496	0.016041894421
84	-36.77	-281.5249168	0.01660788470709
85	-36.73	-281.21243	0.01729736061305
86	-35.69	-273.3453848	0.0178496967708
87	-36.16	-276.8685964	0.01851927410034
88	-36.55	-276.821936	0.01916500115193
89	-36.59	-277.6892432	0.01977968782141
90	-36.81	-279.9602752	0.02040857158986
91	-35.62	-269.93136	0.02097467660007
92	-35.73	-270.531536	0.02155029506469
93	-36.45	-278.10438	0.02210820269743
94	-36.11	-275.40304	0.02269653498657
95	-37.36	-285.3659788	0.02321431706769
96	-36.19	-275.2233736	0.02365390586489
97	-36.51	-277.365474933333	0.02412264278358
98	-34.65	-263.3377496	0.02464617642101
99	-35.86	-273.7378268	0.02519599631113
100	-35.67	-273.7467332	0.02567999159579
101	-37.66	-289.2514028	0.02622835587852
102	-35.34	-269.1975252	0.02666507409664
103	-36.13	-276.6619488	0.02714149841754
104	-34.67	-264.688094666667	0.02759415211643
105	-36.70	-280.6264788	0.02799562234135
106	-36.83	-282.3773824	0.02837487684024
107	-36.01	-275.1782748	0.0287537505507
108	-36.63	-279.17086	0.02918984436988
109	-37.11	-282.9644116	0.02957631960144
110	-36.35	-276.8919348	0.02994942548615
111	-34.98	-267.1659612	0.03032726251862
112	-36.21	-277.9879696	0.03072231860905
113	-37.08	-282.3536448	0.031173435045
114	-36.01	-273.6085936	0.03157430159131
115	-36.14	-274.591188	0.0320175350591
116	-36.58	-278.112908	0.03242490169599
117	-36.99	-281.384892	0.03285654413622
118	-36.87	-280.6666248	0.03322306290763
119	-36.20	-275.8602416	0.0336148891376
120	-35.77	-272.2257088	0.03410017428816
121	-36.56	-278.60496	0.03459184938849
122	-37.40	-285.7364496	0.03510743996048
123	-36.22	-277.8831496	0.03567718684433
124	-35.15	-268.885472	0.03625846619616
125	-37.01	-282.313536	0.03676313184596
126	-36.09	-274.8386912	0.03735991658171
127	-35.49	-269.8531352	0.03790617287974
128	-36.15	-275.1270928	0.03846533382183
129	-36.27	-275.739551466667	0.03903665710269
130	-36.08	-273.3498736	0.03958315595009
131	-36.28	-274.9771496	0.04023641243955
132	-35.67	-270.0663576	0.04084727951779
133	-35.48	-268.6517844	0.04149598016469
134	-35.34	-267.5478064	0.04223976213342
135	-37.32	-283.3269844	0.04296300263653
136	-36.41	-276.3059648	0.04358575099388
137	-36.92	-281.2540448	0.04434084008468
138	-36.54	-278.2383324	0.04498580289507
139	-36.92	-281.4639612	0.04563639697828
140	-35.86	-273.8444968	0.04636573020698
141	-36.24	-276.925730666667	0.04708315592701
142	-36.81	-281.3930592	0.04780077998552
143	-35.54	-270.90284	0.04850518775955
144	-36.25	-276.423082	0.04918129581018
145	-33.56	-254.2835644	0.05003597589112
146	-35.89	-272.9414268	0.05076660293769
147	-35.41	-269.27906	0.05159190102935
148	-36.29	-276.913928	0.05238317412891
149	-36.26	-276.6701188	0.05307973470707
150	-37.87	-289.3183972	0.05388754375049
151	-36.53	-277.8443372	0.05452376022364
152	-36.23	-275.672008	0.05528148102424
153	-35.66	-271.714882	0.05604122197274
154	-35.90	-274.083362	0.05686478777665
155	-35.18	-268.885882	0.05764628878115
156	-36.36	-276.788268	0.05846371602843
157	-36.79	-280.23311	0.05928469402166
158	-35.43	-269.306408	0.06013533488159
159	-35.32	-268.983802	0.0609046483141
160	-35.55	-272.0851576	0.0617449337919
161	-37.71	-289.3991232	0.06240401593332
162	-36.55	-279.8552404	0.06323003733097
163	-36.10	-275.838238	0.06406020655059
164	-36.08	-275.100698	0.06480257770383
165	-36.87	-280.319302	0.06564200466572
166	-36.29	-275.828292	0.06648009066827
167	-34.67	-262.830506	0.06737654153841
168	-35.53	-269.7689308	0.06820634891302
169	-34.84	-264.6664292	0.06902276458681
170	-36.35	-277.5371824	0.06978987223107
171	-36.78	-280.9439688	0.07055504105649
172	-36.46	-278.1707516	0.07138364018138
173	-37.01	-282.27817	0.07226702335594
174	-35.60	-270.6797524	0.07318211842584
175	-35.19	-266.9257504	0.07435248751964
176	-34.42	-260.7677412	0.07545931755286
177	-36.13	-274.1181936	0.07651904115112
178	-35.47	-268.490254	0.07760098765998
179	-36.12	-273.698994	0.07883408838445
180	-36.47	-277.2913	0.08038085330021
181	-35.39	-269.718516	0.08176168427322
182	-34.67	-263.402042	0.08298279128256
183	-36.22	-275.0651916	0.08427670710088
184	-35.52	-269.4686532	0.08558533541193
185	-37.15	-282.464218	0.08688856296737
186	-36.48	-277.1129216	0.08827352060991
187	-35.91	-273.8856384	0.0895034335502
188	-36.32	-278.6966832	0.09091770830104
189	-37.10	-284.9254992	0.09225284839617
190	-36.30	-278.6522976	0.09377953507911
191	-36.62	-281.3742168	0.0951700823348
192	-35.44	-271.9024416	0.09649967837789
193	-36.27	-277.9896224	0.09796390121259
194	-35.79	-273.445244	0.09951098332435
195	-36.29	-277.221018	0.10111592503419
196	-35.74	-272.5085328	0.10269254310204
197	-36.24	-276.5391944	0.10439058873581
198	-36.38	-276.9287856	0.10576966283661
199	-36.82	-279.4616096	0.10712266850381
200	-36.19	-275.1713512	0.108472668443
201	-36.00	-274.7398524	0.10981169809785
202	-36.37	-278.06885	0.11127361298369
203	-36.25	-277.5991804	0.11256379903021
204	-34.71	-265.2514308	0.11388082289142
205	-35.96	-275.392956	0.1151021342098
206	-36.55	-280.3143292	0.11642451583796
207	-34.81	-266.3631704	0.11783843425989
208	-34.81	-267.342232	0.11926697559086
209	-37.37	-288.928064	0.1204943062509
210	-36.55	-280.8623628	0.12173568488615
211	-35.33	-269.4505008	0.1229673824121
212	-34.53	-264.1509	0.12426957441991
213	-35.80	-275.5283148	0.1254050038026
214	-36.00	-276.1661728	0.12654707108282
215	-37.77	-289.2962464	0.12762482299869
216	-35.08	-267.7725452	0.12851896886147
217	-34.71	-265.213388	0.12939437252363
218	-36.44	-279.4930108	0.1302144246275
219	-36.53	-280.207618	0.13091249180431
220	-35.57	-272.8705768	0.13158989684397
221	-36.25	-278.7291472	0.13248113958819
222	-36.47	-280.4200752	0.1333596123889
223	-36.01	-275.3393236	0.13427201138466
224	-35.25	-267.7159004	0.13493422060468
225	-35.29	-268.8668736	0.13564843066009
226	-35.32	-269.9873988	0.13640970800843
227	-36.37	-278.5465124	0.13693617431715
228	-34.22	-261.5983228	0.13752845910359
229	-37.19	-285.3338092	0.1381849267519
230	-36.960028575	-283.0392286	0.13877015445674
231	-36.73	-280.726648	0.13944127891951
232	-35.64	-271.9823816	0.14012309850959
233	-36.37	-278.086318	0.14071484599718
234	-37.78	-289.520298	0.14132250888262
235	-36.33	-277.9254084	0.1419405467169
236	-35.91	-274.5941816	0.1425435220549
237	-36.20	-276.914846	0.14321949278437
238	-36.31	-277.7179308	0.14389343477368
239	-35.84	-273.8477064	0.1446736659221
240	-35.19	-268.514412	0.14529292095021
241	-35.90	-274.0777868	0.1459894753218
242	-35.67	-272.2380252	0.14675036488555
243	-36.67	-280.2381492	0.14755696555171
244	-37.54	-287.3902412	0.14843144676141
245	-37.02	-283.4534552	0.1492916084909
246	-35.96	-274.9699112	0.15022690988131
247	-34.94	-267.0334428	0.15121843309776
248	-37.16	-285.0197708	0.15214030913023
249	-35.98	-276.7889756	0.15302025924987
250	-35.74	-276.2030408	0.15411216353923
251	-36.47	-282.052166	0.15512982623378
252	-35.41	-272.511166	0.15615805801118
253	-35.84	-274.7269072	0.1575637511175
254	-36.37	-279.3238804	0.15874696668425
255	-35.93	-276.2583528	0.16005028903721
256	-36.16	-278.050394	0.16126904631312
257	-37.13	-285.7298692	0.16255547045053
258	-35.51	-272.7656468	0.16388072263192
259	-36.93	-282.5433332	0.1651787240018
260	-37.32	-284.140138	0.16658798253359
261	-36.11	-274.4962752	0.16811316768181
262	-34.99	-266.67909	0.16968683134334
263	-35.73	-273.7120736	0.17129457805221
264	-35.80	-274.21072	0.17292620081678
265	-35.54	-272.0418872	0.17475844101538
266	-35.81	-273.2521256	0.17664954014848
267	-36.65	-279.184072	0.17847126131513
268	-35.38	-269.0418752	0.18028823991608
269	-37.83	-290.1376176	0.18252930868432
270	-36.86	-283.6148864	0.18440331750582
271	-36.05	-276.3035232	0.18629043157658
272	-35.21	-268.8764424	0.18869858892382
273	-36.19	-276.7069624	0.19114418579476
274	-36.34	-278.0648928	0.19348020974457
275	-35.91	-274.7029928	0.19571870527167
276	-36.70	-280.6680056	0.19845414218976
277	-36.03	-275.0432376	0.20077716557897
278	-35.93	-274.2041168	0.20301738144069
279	-36.38	-277.683032	0.20560996308452
280	-34.85	-265.3152984	0.20807360221938
281	-36.90	-281.6950432	0.21105878473141
282	-35.60	-272.5815952	0.21422888363435
283	-35.59	-273.5224656	0.21715766014791
284	-37.00	-284.8029312	0.2200047038906
285	-36.26	-278.367112	0.22311162722893
286	-35.51	-271.8741312	0.22644930432195
287	-35.93	-275.2107824	0.23001669175249
288	-36.41	-279.7466704	0.2334399121308
289	-36.71	-282.2170336	0.23655628180696
290	-36.93	-283.6177552	0.24029595965916
291	-36.78	-282.4662608	0.24372568582675
292	-36.39	-279.3713712	0.24768192938073
293	-34.92	-268.1819136	0.25173886725432
294	-36.36	-279.6480784	0.25602531608017
295	-36.67	-281.9346352	0.26004748613269
296	-37.00	-284.599552	0.26418311736076
297	-36.28	-278.7088624	0.26827445129991
298	-36.75	-281.3892304	0.27288068254409
299	-35.88	-274.4125512	0.27735611371339
300	-35.06	-267.6639096	0.28190511385136
301	-35.88	-274.276544	0.28670331052366
302	-36.67	-281.617156	0.29092688163405
303	-36.26	-279.0528432	0.29597867200292
304	-35.38	-272.0241416	0.30135475909246
305	-36.29	-278.8888824	0.30627216799396
306	-34.87	-267.5717392	0.31127047325648
307	-35.49	-271.4322312	0.31667002946936
308	-35.14	-267.9279464	0.32164851632433
309	-36.57	-279.4330832	0.32617314579393
310	-36.46	-279.0529952	0.3308841862506
311	-37.77	-289.5900304	0.33582334524737
312	-35.46	-271.376152	0.34070636770804
313	-36.48	-279.7649896	0.34539773449621
314	-35.79	-274.153864	0.34979520335872
