#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.400000000000000000e+01	0.000000000000000000e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.490621254836925647e-02	3.443276219705637686e-03	1.011921893092202485e+00	4.253149439842414392e-02	7.425794800017052921e+01	1.669276343818637542e+01	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	1.500455848470772235e-01	9.997000000000000330e-01	4.561186338515395289e-02	7.192771428571430192e+01	2.371986304614299990e-01	2.460170460541454551e-01	1.162788225512250903e-02	inf	nan
1.000000000000000000e+00	-4.993524100854413206e+01	1.921191845343784288e-01	-5.400000000000000000e+01	0.000000000000000000e+00	9.490112139518903922e-02	3.441001874793122878e-03	1.012133960671741217e+00	4.177756147577195434e-02	7.426021799360619013e+01	1.668903592140160441e+01	1.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	1.501380344289414692e-01	9.993999999999999551e-01	4.592293063106186318e-02	7.192771428571430192e+01	2.372628027016823182e-01	2.394074122526916037e-01	1.106174578292154487e-02	inf	nan
2.000000000000000000e+00	-4.575826089506079342e+01	3.851114994523998636e-01	-5.400000000000000000e+01	0.000000000000000000e+00	9.489588758220196540e-02	3.438666387446206139e-03	1.012335848894381662e+00	4.104037871457302117e-02	7.426255179408639151e+01	1.668520416096638570e+01	2.000000000000000000e+00	0.000000000000000000e+00	8.742999999999997995e-02	1.502279774805897750e-01	9.990900000000000336e-01	4.623399787696976654e-02	7.192771428571430192e+01	2.373287767086811884e-01	2.605688101120599010e-01	1.176419660879398504e-02	inf	nan
3.000000000000000000e+00	-4.192050303152393553e+01	5.583686609711331350e-01	-5.400000000000000000e+01	0.000000000000000000e+00	9.489107688769576887e-02	3.436521881616506034e-03	1.012517404415326228e+00	4.032052992923939455e-02	7.426469710076480624e+01	1.668168315732413021e+01	3.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	1.503166835474841756e-01	9.987599999999999811e-01	4.654506512287767683e-02	7.192771428571430192e+01	2.373894203715765372e-01	2.461225680060067922e-01	1.085313804138232294e-02	inf	nan
4.000000000000000000e+00	-3.785748675430227905e+01	7.375096484728008717e-01	-5.400000000000000000e+01	0.000000000000000000e+00	9.488598175572081350e-02	3.434252307844169044e-03	1.012678596113695928e+00	3.961910697597954140e-02	7.426696943718381760e+01	1.667795458239401896e+01	4.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	1.504130272195167706e-01	9.984100000000000197e-01	4.685613236878558019e-02	7.192771428571430192e+01	2.374536530086267250e-01	2.215308421792578919e-01	9.536533767456579005e-03	inf	nan
5.000000000000000000e+00	-3.334344261416028132e+01	9.317863918010046431e-01	-5.400000000000000000e+01	0.000000000000000000e+00	9.488031876188182667e-02	3.431734521243778695e-03	1.012829540921068139e+00	3.893758095494020272e-02	7.426949525446204348e+01	1.667381270041778052e+01	5.000000000000000000e+00	0.000000000000000000e+00	8.742999999999995220e-02	1.505182822768668938e-01	9.980499999999999927e-01	4.716719961469349048e-02	7.192771428571430192e+01	2.375250485389364674e-01	2.060941702282778343e-01	8.656642099728951642e-03	inf	nan
6.000000000000000000e+00	-2.849129177994521811e+01	1.135520131400747035e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.487422924112716427e-02	3.429031461751560518e-03	1.012960069916162276e+00	3.827675643987837190e-02	7.427221157601643142e+01	1.666935879388299924e+01	6.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	1.506311876900348623e-01	9.976699999999999458e-01	4.747826686060139384e-02	7.192771428571430192e+01	2.376018262122485680e-01	1.926661572248635490e-01	7.892024723796429997e-03	inf	nan
7.000000000000000000e+00	-2.330096663720162198e+01	1.348015856779843258e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.486771283696852908e-02	3.426143346622513228e-03	1.013070151890781423e+00	3.763778293362925187e-02	7.427511861844374152e+01	1.666459309968372082e+01	7.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	1.507492125645341630e-01	9.972699999999999898e-01	4.778933410650930413e-02	7.192771428571430192e+01	2.376839915597900588e-01	1.885757838777175344e-01	7.528929634529093508e-03	inf	nan
8.000000000000000000e+00	-1.799805881183389999e+01	1.559580022240164787e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.486105261218392981e-02	3.423193765104015889e-03	1.013159755604935208e+00	3.702190140823435893e-02	7.427809014483645456e+01	1.665972440099784535e+01	8.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	1.508723643939656189e-01	9.968500000000000139e-01	4.810040135241720749e-02	7.192771428571430192e+01	2.377679761740832121e-01	1.772647476502031971e-01	6.894442105325531041e-03	inf	nan
9.000000000000000000e+00	-1.235677923845080528e+01	1.778769280513507134e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.485396480617697135e-02	3.420060721986343914e-03	1.013228849786814934e+00	3.643039788760205067e-02	7.428125280065063407e+01	1.665454726666515128e+01	9.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	1.510019200760045477e-01	9.964100000000000179e-01	4.841146859832511778e-02	7.192771428571430192e+01	2.378573590117505909e-01	1.704449140019538567e-01	6.454207235492399886e-03	inf	nan
1.000000000000000000e+01	-6.489781059857243406e+00	2.000638325770029091e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.484659075840611020e-02	3.416807005335558388e-03	1.013297751090054710e+00	3.586524446576606212e-02	7.428454357442842593e+01	1.664916133738616821e+01	1.000000000000000000e+01	0.000000000000000000e+00	8.743000000000000771e-02	1.511340741596770287e-01	9.959700000000000220e-01	4.872253584423302808e-02	7.192771428571430192e+01	2.379503586736838039e-01	1.704432530797022061e-01	6.280154731520431501e-03	inf	nan
1.100000000000000000e+01	-6.227257089928528444e-01	2.216439235429843446e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.483921402657177757e-02	3.413556486820876461e-03	1.013346100969107599e+00	3.532706678881995799e-02	7.428783594788846756e+01	1.664377371675418615e+01	1.100000000000000000e+01	0.000000000000000000e+00	8.742999999999989669e-02	1.512688314439548098e-01	9.955100000000000060e-01	4.903360309014093144e-02	7.192771428571430192e+01	2.380433994210425508e-01	1.641248510021197093e-01	5.880976350469361430e-03	inf	nan
1.200000000000000000e+01	5.470196806361542485e+00	2.434270384069961324e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.483155060702269656e-02	3.410187843174703522e-03	1.013384052427334980e+00	3.481751222685403047e-02	7.429125670121628389e+01	1.663817900243455483e+01	1.200000000000000000e+01	0.000000000000000000e+00	8.742999999999989669e-02	1.514074669296850140e-01	9.950400000000000356e-01	4.934467033604884173e-02	7.192771428571430192e+01	2.381400637484375749e-01	1.611347770826837000e-01	5.611631100530665994e-03	inf	nan
1.300000000000000000e+01	1.167618174707280332e+01	2.649775075489003040e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.482374227098840092e-02	3.406761876770323782e-03	1.013421779204612960e+00	3.433825036339001324e-02	7.429474258790365582e+01	1.663248051237050618e+01	1.300000000000000000e+01	0.000000000000000000e+00	8.742999999999989669e-02	1.515461673135228282e-01	9.945699999999999541e-01	4.965573758195674509e-02	7.192771428571430192e+01	2.382385640485053524e-01	1.641103313120854112e-01	5.551386457511708374e-03	inf	nan
1.400000000000000000e+01	1.776964333480380276e+01	2.855147355318500946e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.481607286015514280e-02	3.403402922688876942e-03	1.013449086320200587e+00	3.389019259057924477e-02	7.429816689270226959e+01	1.662688517426738954e+01	1.400000000000000000e+01	0.000000000000000000e+00	8.742999999999989669e-02	1.516849345638858759e-01	9.940900000000000292e-01	4.996680482786465538e-02	7.192771428571430192e+01	2.383353197364559695e-01	1.611188169158178918e-01	5.290843444433690305e-03	inf	nan
