#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.000000000000000000e+01	0.000000000000000000e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.200015101402772594e-02	6.428371723821156873e-04	9.935857001231787056e-01	2.273527758206753818e-02	8.235300938361373824e+01	1.760116390414623666e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.188800000000000121e-02	1.501173638317771231e-01	9.947300000000000031e-01	2.321765307386722266e-02	8.660371428571430386e+01	2.245433194414299949e-01	5.707319960336396103e-02	1.762979577693045549e-03	inf	nan
1.000000000000000000e+00	-3.247864134217807930e+01	5.412309279787022032e-01	-5.000000000000000000e+01	0.000000000000000000e+00	2.200160895761423333e-02	6.418640070386898546e-04	9.931463744219474199e-01	2.256570155164667330e-02	8.235787345829253070e+01	1.758480224354838128e+01	1.000000000000000000e+00	0.000000000000000000e+00	2.188899999999999527e-02	1.503536732333054238e-01	9.942699999999999871e-01	2.325674375080167069e-02	8.660371428571430386e+01	2.248172306881852933e-01	5.631654166934025457e-02	1.725635632651589856e-03	inf	nan
2.000000000000000000e+00	-1.472186916906684928e+01	1.085327756007144373e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.200407822062538238e-02	6.409078723778997583e-04	9.927070304888317986e-01	2.239802631467433663e-02	8.236280338029160930e+01	1.756822049007744369e+01	2.000000000000000000e+00	0.000000000000000000e+00	2.189100000000000767e-02	1.505934486041930198e-01	9.938099999999999712e-01	2.329583442773611873e-02	8.660371428571430386e+01	2.250948334965908459e-01	5.544061712954568427e-02	1.685039652995514153e-03	inf	nan
3.000000000000000000e+00	3.315448086319094045e+00	1.633539998987964648e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.200554966182088554e-02	6.399082634014706785e-04	9.922776574274991823e-01	2.223252013139772817e-02	8.236781169994399932e+01	1.755138089626409581e+01	3.000000000000000000e+00	0.000000000000000000e+00	2.189199999999999480e-02	1.508369982186702485e-01	9.933600000000000207e-01	2.333492510467056677e-02	8.660371428571430386e+01	2.253768338451933584e-01	5.458903817209031367e-02	1.645603731633929912e-03	inf	nan
4.000000000000000000e+00	2.163414417412209900e+01	2.185750899899371547e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.200803365795944017e-02	6.389233524401061876e-04	9.918382772315624818e-01	2.206877536780167681e-02	8.237289867114859021e+01	1.753428229148462236e+01	4.000000000000000000e+00	0.000000000000000000e+00	2.189399999999999680e-02	1.510846318800010135e-01	9.929000000000000048e-01	2.337401578160501481e-02	8.660371428571430386e+01	2.256632452256396582e-01	5.363245746576101453e-02	1.603445526719684796e-03	inf	nan
5.000000000000000000e+00	4.027956985946198643e+01	2.743169846391747324e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.200952098902290294e-02	6.378926146826485689e-04	9.913988788020685616e-01	2.190706237242788512e-02	8.237807691193266635e+01	1.751687764016649851e+01	5.000000000000000000e+00	0.000000000000000000e+00	2.189499999999999780e-02	1.513366610593269157e-01	9.924399999999999888e-01	2.341310645853945938e-02	8.660371428571430386e+01	2.259547771850334008e-01	5.270583196011571075e-02	1.562637475133961439e-03	inf	nan
6.000000000000000000e+00	5.925280228574706598e+01	3.305660900246223388e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.201202212516348636e-02	6.368746340791707353e-04	9.909594621384588686e-01	2.174737130579113692e-02	8.238334674828035986e+01	1.749916950232368507e+01	6.000000000000000000e+00	0.000000000000000000e+00	2.189699999999999980e-02	1.515927819892385064e-01	9.919799999999999729e-01	2.345219713547390741e-02	8.660371428571430386e+01	2.262514471076212119e-01	5.193576572793301427e-02	1.526882634154671939e-03	inf	nan
7.000000000000000000e+00	7.850735617522909138e+01	3.871688755574251406e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.201352538375536336e-02	6.358134527036410051e-04	9.905200272401740724e-01	2.158980712813382205e-02	8.238869529435133643e+01	1.748120319085084517e+01	7.000000000000000000e+00	0.000000000000000000e+00	2.189800000000000080e-02	1.518529981351354197e-01	9.915199999999999569e-01	2.349128781240835545e-02	8.660371428571430386e+01	2.265525286572709074e-01	5.106519382381645433e-02	1.488577889495171789e-03	inf	nan
8.000000000000000000e+00	9.809016640503392637e+01	4.442474364679003251e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.059153418904482308e-02	5.936935493694605768e-04	9.900805741066555088e-01	2.143435422145704289e-02	8.239413561334735903e+01	1.746293256965062213e+01	8.000000000000000000e+00	0.000000000000000000e+00	2.048300000000000121e-02	1.521271779019441606e-01	9.910600000000000520e-01	2.353037848934280349e-02	8.660371428571430386e+01	2.268587562578868455e-01	4.686730572787661114e-02	1.354530403303269093e-03	inf	nan
9.000000000000000000e+00	1.194270020619895831e+02	5.059048196173002054e+00	-5.000000000000000000e+01	0.000000000000000000e+00	2.204775953915955392e-02	6.344585405637765373e-04	9.896411027373439584e-01	2.128108055878908181e-02	8.240006388540933813e+01	1.744302872186386111e+01	9.000000000000000000e+00	0.000000000000000000e+00	2.193100000000000604e-02	1.524058885180006317e-01	9.906000000000000361e-01	2.356946916627725153e-02	8.660371428571430386e+01	2.271924270026511317e-01	4.936508837832953578e-02	1.414261208931913861e-03	inf	nan
