#From Bazin et al. and Veres et al. (CP, 2013)
#Depth EDC (m)	Depth Vostok (m)	Uncertainty (a)	#	type	Source
418.2	319.96	500	#	CH4	Lemieux-Dudon et al. 2010
442.7	346.16	500	#	CH4	Lemieux-Dudon et al. 2010
476.1	372.2	500	#	CH4	Lemieux-Dudon et al. 2010
743.44	614.71	1070	#	CH4	PHD loulergue
770.36	643.37	740	#	CH4	PHD loulergue
924.98	838.37	1400	#	CH4	PHD loulergue
930.69	845.47	1316	#	CH4	PHD loulergue
942.97	862.05	740	#	CH4	PHD loulergue
986.35	911.19	1152	#	CH4	PHD loulergue
1037.68	983.38	1234	#	CH4	PHD loulergue
1102.98	1075.79	1152	#	CH4	PHD loulergue
1110.47	1085.92	1317	#	CH4	PHD loulergue
1139.22	1125.46	987	#	CH4	PHD loulergue
1144.04	1133.77	5349	#	CH4	PHD loulergue
1200.36	1198.09	2551	#	CH4	PHD loulergue
1238.26	1264.36	1399	#	CH4	PHD loulergue
1285.5	1334.78	2139	#	CH4	PHD loulergue
1321.73	1386.92	1975	#	CH4	PHD loulergue
1358.99	1413.67	1070	#	CH4	PHD loulergue
1422.98	1464.13	1316	#	CH4	PHD loulergue
1462.4	1522.89	1481	#	CH4	PHD loulergue
1463	1529.3	1000	#	d18Oatm	Bazin et al.. 2013
1472.7	1537	1000	#	CH4	Bazin et al.. 2013
1476.8	1542.1	1000	#	CH4	Bazin et al.. 2013
1477.76	1536.1	1481	#	CH4	PHD loulergue
1509.8	1592	1200	#	d18Oatm	Bazin et al.. 2013
1541.46	1626.19	1234	#	CH4	PHD loulergue
1584	1685	1200	#	d18Oatm	Bazin et al.. 2013
1589.64	1760.88	3000	#	CH4	PHD loulergue
1650.2	1784.3	1000	#	d18Oatm	Bazin et al.. 2013
1694.33	1842.42	1563	#	CH4	PHD loulergue
1705.5	1863	1500	#	d18Oatm	Bazin et al.. 2013
1718.28	1868.43	1200	#	CH4	PHD loulergue
1721.5	1881.05	1000	#	CH4	Bazin et al.. 2013
1726.3	1887.27	1646	#	CH4	PHD loulergue
1816.12	2017.88	1600	#	CH4	PHD loulergue
1936.22	2230.19	2304	#	CH4	PHD loulergue
1980.41	2332.16	1234	#	CH4	PHD loulergue
1991.43	2345.69	3127	#	CH4	PHD loulergue
2001.29	2370.03	2057	#	CH4	PHD loulergue
2014.34	2386.66	1481	#	CH4	PHD loulergue
2028.34	2408.82	3539	#	CH4	PHD loulergue
2062.54	2461.55	2000	#	CH4	PHD loulergue
2072.17	2479.52	1481	#	CH4	PHD loulergue
2087.63	2499.76	2304	#	CH4	PHD loulergue
2104.96	2536.02	3950	#	CH4	PHD loulergue
2123.52	2558.66	2000	#	CH4	PHD loulergue
2193.65	2648.44	4197	#	CH4	PHD loulergue
2203.51	2658.35	2880	#	CH4	PHD loulergue
2265.7	2730.97	2551	#	CH4	PHD loulergue
2286.64	2760.31	2000	#	CH4	PHD loulergue
2305	2775.12	1500	#	CH4	PHD loulergue
2309.08	2780.59	1234	#	CH4	PHD loulergue
2315.56	2783.54	1500	#	CH4	PHD loulergue
2326.7	2799.61	1893	#	CH4	PHD loulergue
2335.99	2809.77	1810	#	CH4	PHD loulergue
2338.36	2815.25	1810	#	CH4	PHD loulergue
2361.48	2844.91	1564	#	CH4	PHD loulergue
2365.62	2857.56	1152	#	CH4	PHD loulergue
2370.96	2864.81	1481	#	CH4	PHD loulergue
2419.34	2911.06	1500	#	CH4	Bazin et al.. 2013
2451.33	2954.61	1500	#	CH4	Bazin et al.. 2013
2501.4	3018.01	1500	#	CH4	Bazin et al.. 2013
2521.2	3051.5	1500	#	CH4	Bazin et al.. 2013
2544.83	3079.41	1500	#	CH4	Bazin et al.. 2013
2583.9	3123.5	1500	#	CH4	Bazin et al.. 2013
2613	3162.8	1500	#	CH4	Bazin et al.. 2013
