#From Jouzel et al. (Science, 2007)
#Extrapolated for depths <=6.05 m
#Excess extrapolated for depth>=2151.6 m
#depth-top (m)	d18O (pm)	deut (pm)	d18OSW (pm)
0	-50.1	-390.9	4.0436E-08
0.55	-50.1	-390.9	-4.04808396576961E-05
1.1	-50.1	-390.9	-8.15229051845824E-05
1.65	-50.1	-390.9	-0.00012308825702
2.2	-50.1	-390.9	-0.00016517929751
2.75	-50.1	-390.9	-0.00020779833302
3.3	-50.1	-390.9	-0.00025094757212
3.85	-50.1	-390.9	-0.00029462912389
4.4	-50.1	-390.9	-0.00033884499621
4.95	-50.1	-390.9	-0.00038359709419
5.5	-50.1	-390.9	-0.00042888721863
6.05	-50.1	-390.9	-0.00047471706462
6.6	-50.1	-390.9	-0.00052108822014
7.15	-49.2	-385.1	-0.0005680021648
7.7	-48.1	-377.8	-0.00060820543619
8.25	-50.4	-394.1	-0.00063555846121
8.8	-50.9	-398.7	-0.00066916566713
9.35	-50.6	-395.9	-0.00070507050106
9.9	-50.5	-395.9	-0.00074018293326
10.45	-51.1	-399.3	-0.0007756838812
11	-50.0	-391.4	-0.00081306056575
11.55	-50.9	-399.5	-0.00084744222298
12.1	-51.6	-402.9	-0.00088572044372
12.65	-50.5	-393.9	-0.00092600722116
13.2	-50.8	-398.6	-0.00096256983109
13.75	-50.0	-389.8	-0.00100164575545
14.3	-50.6	-394.5	-0.00103721042514
14.85	-51.1	-400.5	-0.00107521052711
15.4	-51.7	-403.6	-0.00111644349805
15.95	-50.1	-393.1	-0.00115965733165
16.5	-52.5	-410.9	-0.00119815578975
17.05	-50.2	-393.6	-0.00124623352253
17.6	-49.9	-391.1	-0.00128571711882
18.15	-49.9	-391.9	-0.0013244051488
18.7	-50.4	-396.3	-0.00136383272628
19.25	-50.7	-397	-0.0014057725104
19.8	-51.7	-404.7	-0.00144844390279
20.35	-51.0	-398.2	-0.0014956499417
20.9	-50.7	-395.2	-0.00153972476344
21.45	-51.7	-403.5	-0.00158262746266
22	-51.2	-398.6	-0.00163041561961
22.55	-51.3	-399.7	-0.00167587986157
23.1	-50.6	-396	-0.00172233951205
23.65	-51.5	-400.2	-0.00176716766061
24.2	-51.6	-401.6	-0.00180733335132
24.75	-51.9	-405.4	-0.00183161584284
25.3	-51.0	-399	-0.00185715506828
25.85	-50.5	-396.9	-0.00188093559976
26.4	-50.6	-394.9	-0.00190424400257
26.95	-51.9	-406.6	-0.00192711604934
27.5	-50.5	-395.2	-0.00195354687117
28.05	-50.5	-395.3	-0.00197672794853
28.6	-51.1	-399.5	-0.00200004982635
29.15	-51.2	-401	-0.00202467714953
29.7	-50.2	-393.6	-0.00204986968364
30.25	-52.5	-410.4	-0.00207304185797
30.8	-51.0	-401.3	-0.00210149394973
31.35	-50.9	-398.3	-0.00212713655703
31.9	-49.5	-388.5	-0.00215199192699
32.45	-50.1	-391.9	-0.00217420487334
33	-51.2	-400.8	-0.00219744366016
33.55	-49.5	-387.7	-0.00218843612963
34.1	-51.2	-401.4	-0.00217727406706
34.65	-51.2	-401	-0.00216407022861
35.2	-49.3	-387.3	-0.00215087137959
35.75	-49.8	-390.2	-0.00213961497147
36.3	-50.4	-394.5	-0.00212791154004
36.85	-51.3	-401.9	-0.00211553870293
37.4	-51.1	-399.8	-0.00210196550819
37.95	-51.1	-399.9	-0.00205472376219
38.5	-51.0	-399.1	-0.00200130514693
39.05	-51.5	-401.9	-0.00194817460847
39.6	-51.7	-404.8	-0.00189301195719
40.15	-51.6	-401.6	-0.00183567309172
40.7	-50.7	-396.7	-0.00178026014715
41.25	-50.8	-397.1	-0.00172778614927
41.8	-50.4	-394.2	-0.00165607532783
42.35	-50.6	-395.9	-0.0015662604504
42.9	-50.2	-392.7	-0.00147424628842
43.45	-49.9	-390.4	-0.00138533821067
44	-49.7	-389	-0.00129850635499
44.55	-49.6	-387	-0.00121278965714
45.1	-51.6	-402.3	-0.0011287808698
45.65	-50.3	-392.5	-0.0010275613803
46.2	-51.8	-404.6	-0.00091031928527
46.75	-50.0	-390.5	-0.00076061344331
47.3	-51.5	-402.3	-0.00063364218953
47.85	-51.0	-400.1	-0.00048693861425
48.4	-51.2	-399.4	-0.0003435296289
48.95	-51.3	-400.6	-0.0002008129034
49.5	-50.4	-393.8	-5.55314493163739E-05
50.05	-51.1	-398.5	0.00010253511427
50.6	-51.0	-398.7	0.0002879883956
51.15	-51.5	-401.8	0.00047451613562
51.7	-50.6	-395.2	0.00066872727565
52.25	-49.8	-390.1	0.00084882154415
52.8	-50.4	-393.9	0.001018837265
53.35	-51.1	-400.6	0.00119732498866
53.9	-51.2	-400.9	0.00139834331837
54.45	-50.2	-391.7	0.0016086860858
55	-51.1	-399.3	0.00179774893945
55.55	-49.6	-386.7	0.00200541748863
56.1	-51.4	-401.5	0.00218463939866
56.65	-50.9	-398.1	0.00239915479701
57.2	-49.9	-390.4	0.00260576509872
57.75	-49.9	-389.8	0.00281514747842
58.3	-50.1	-390.7	0.00304375771253
58.85	-51.1	-399.3	0.00327552127175
59.4	-50.3	-392.5	0.00353309648734
59.95	-50.3	-393.8	0.00377127722616
60.5	-50.3	-394.4	0.00401387828158
61.05	-50.8	-397	0.00425891840761
61.6	-50.8	-397.8	0.00451237579226
62.15	-49.8	-388.6	0.00476895382322
62.7	-50.5	-394.7	0.0049994787971
63.25	-50.0	-390.6	0.00524809535245
63.8	-50.9	-397	0.00548547673732
64.35	-49.4	-386.6	0.00574239240159
64.9	-50.2	-390.6	0.00596991283944
65.45	-50.9	-397	0.00623488745376
66	-50.8	-396.1	0.00655477928418
66.55	-51.0	-398.9	0.00687206454057
67.1	-51.0	-400.2	0.0072009681009
67.65	-51.0	-398.7	0.00753585569422
68.2	-49.9	-389.7	0.00786561826498
68.75	-51.4	-401.6	0.00816251650179
69.3	-50.9	-397.9	0.00850557055304
69.85	-51.0	-399.2	0.00883459319935
70.4	-50.6	-397.6	0.00916955989277
70.95	-50.0	-390.5	0.00949896570022
71.5	-51.4	-401.5	0.00980230914354
72.05	-50.5	-395.7	0.01014902205098
72.6	-50.4	-394.5	0.01048153292519
73.15	-51.6	-402.9	0.0108171604963
73.7	-51.3	-401	0.01118902260738
74.25	-50.3	-391.5	0.0115533518101
74.8	-51.6	-403.4	0.01187933295755
75.35	-50.4	-393.4	0.01225589188782
75.9	-50.5	-393.8	0.01259079505566
76.45	-51.3	-400.8	0.01292801738644
77	-51.1	-399.3	0.01329540296176
77.55	-50.6	-396.6	0.01365701776003
78.1	-50.5	-395.3	0.01400788202307
78.65	-50.2	-392.6	0.01435404542498
79.2	-51.7	-404.4	0.01468990307537
79.75	-50.7	-394.4	0.01507733710125
80.3	-51.4	-402.2	0.0154218498125
80.85	-51.5	-401.9	0.01580072026563
81.4	-50.2	-393.8	0.01617896365535
81.95	-51.4	-402.3	0.01652299860367
82.5	-49.4	-385.1	0.01690449497811
83.05	-50.7	-395.9	0.01721575507012
83.6	-50.6	-395.8	0.01757050188698
84.15	-50.9	-398.2	0.01792547219341
84.7	-50.6	-394.8	0.01829141958489
85.25	-50.8	-397.7	0.01864343826969
85.8	-51.3	-400.3	0.01900850124893
86.35	-51.3	-402.4	0.01937274339976
86.9	-50.3	-396	0.0197426060936
87.45	-51.4	-401.4	0.02008584810103
88	-49.6	-386.1	0.02045256453807
88.55	-51.2	-400.1	0.0207585687815
89.1	-51.1	-400.3	0.02112083465023
89.65	-50.3	-393.2	0.02145745716038
