# depth thinning sigma_thinning accu sigma_accu LIDIE sigma_LIDIE age sigma_age gas_age sigma_gas_age Ddepth sigma_Ddepth
0.000000000000000000e+00 9.999029325340004215e-01 5.041578026026633102e-06 2.761128984309181578e-02 1.601765058833664072e-03 7.014756842678129090e+01 7.014757772573595673e+01 -5.000000000000000000e+01 0.000000000000000000e+00 -5.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000444e-01 9.997087975600921217e-01 1.507071800451919568e-05 2.761126504964738979e-02 1.601764420484454426e-03 7.014756842678129090e+01 7.014757772573595673e+01 -4.239644203326098193e+01 4.410950885349457784e-01 -5.000000000000000000e+01 0.000000000000000000e+00 5.500000000000000444e-01 0.000000000000000000e+00
1.100000000000000089e+00 9.995146625303029664e-01 2.516528641858963480e-05 2.761123993774656366e-02 1.601763618364500201e-03 7.014756842678129090e+01 7.014757772573595673e+01 -3.469362763999696142e+01 8.879574588096067478e-01 -5.000000000000000000e+01 0.000000000000000000e+00 1.100000000000000089e+00 0.000000000000000000e+00
1.650000000000000133e+00 9.993205274446342878e-01 3.521826394699679416e-05 2.761121450586938655e-02 1.601762916730002304e-03 7.014756842678129090e+01 7.014757772573595673e+01 -2.689105682971842270e+01 1.340613449231657039e+00 -5.000000000000000000e+01 0.000000000000000000e+00 1.650000000000000133e+00 0.000000000000000000e+00
2.200000000000000178e+00 9.991263923030854199e-01 4.524250948941690802e-05 2.761118875255344496e-02 1.601762080263871351e-03 7.014756842678129090e+01 7.014757772573595673e+01 -1.898824733130233966e+01 1.799092995047717469e+00 -5.000000000000000000e+01 0.000000000000000000e+00 2.200000000000000178e+00 0.000000000000000000e+00
2.750000000000000000e+00 9.989322571056563627e-01 5.531316627530778957e-05 2.761116267639536492e-02 1.601761381473105431e-03 7.014756842678129090e+01 7.014757772573595673e+01 -1.098473496125330229e+01 2.263423559542235175e+00 -5.000000000000000000e+01 0.000000000000000000e+00 2.750000000000000000e+00 0.000000000000000000e+00
3.300000000000000266e+00 9.987381218523471160e-01 6.537835161678300880e-05 2.761113627605193618e-02 1.601760677015922089e-03 7.014756842678129090e+01 7.014757772573595673e+01 -2.880073979936305761e+00 2.733629795286649511e+00 -5.000000000000000000e+01 0.000000000000000000e+00 3.300000000000000266e+00 0.000000000000000000e+00
3.850000000000000533e+00 9.985439865431580131e-01 7.539633765577830472e-05 2.761110955024052502e-02 1.601759877751442835e-03 7.014756842678129090e+01 7.014757772573595673e+01 5.326162564802537247e+00 3.209737674507111560e+00 -5.000000000000000000e+01 0.000000000000000000e+00 3.850000000000000533e+00 0.000000000000000000e+00
4.400000000000000355e+00 9.983498511780887208e-01 8.541870794068179935e-05 3.234240687823497495e-02 5.899243596036647967e-04 7.014856116442155098e+01 2.804168151281151466e+01 1.363438250719630673e+01 3.691770768821756477e+00 -5.000000000000000000e+01 0.000000000000000000e+00 4.400000000000000355e+00 0.000000000000000000e+00
4.950000000000000178e+00 9.981557157571393502e-01 9.547364259513503376e-05 3.234422236418869889e-02 5.895668501057295440e-04 7.014972885253050094e+01 2.802126286065166383e+01 2.081460082714716009e+01 3.616954999036950280e+00 -5.000000000000000000e+01 0.000000000000000000e+00 4.950000000000000178e+00 0.000000000000000000e+00
