# depth thinning sigma_thinning accu sigma_accu LIDIE sigma_LIDIE age sigma_age gas_age sigma_gas_age Ddepth sigma_Ddepth
0.000000000000000000e+00 9.952199999999999935e-01 0.000000000000000000e+00 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -4.700000000000000000e+01 0.000000000000000000e+00 -4.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.951702287666539526e-01 1.692277199413080713e-05 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -4.467648827583659710e+01 2.154475708948667023e+00 -4.700000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.951104575057753143e-01 3.384216781123527057e-05 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -4.224357627580763364e+01 4.410391970504118575e+00 -4.700000000000000000e+01 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 9.950606862242600270e-01 5.078058966082479137e-05 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -3.970115958374884002e+01 6.767847543064674731e+00 -4.700000000000000000e+01 0.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 9.950109149198098635e-01 6.767818106277463490e-05 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -3.704931962297854398e+01 9.226764971541648208e+00 -4.700000000000000000e+01 0.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 9.949511435809308413e-01 8.459143365897483613e-05 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -3.428804544654551023e+01 1.178715561674064816e+01 -4.700000000000000000e+01 0.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 9.949013722283114314e-01 1.015203474496046001e-04 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -3.141729725294759490e+01 1.444905464620802249e+01 -4.700000000000000000e+01 0.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 9.948416008366656182e-01 1.184347192587225392e-04 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -2.843702390436517291e+01 1.721251179005453480e+01 -4.700000000000000000e+01 0.000000000000000000e+00 7.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 9.947918294358772950e-01 1.353323109713258361e-04 1.479455155893458773e-01 1.371824320806069863e-01 7.433936292191344819e+01 7.433936275447194930e+01 -2.534725132644816981e+01 2.007750146308334038e+01 -4.700000000000000000e+01 0.000000000000000000e+00 8.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 9.947420580121536515e-01 1.522707349751621967e-04 6.590815579227113363e-02 1.286366528819091973e-03 5.382466367909347582e+01 1.796074716677464522e+01 -2.214799852100743749e+01 2.304400660557674030e+01 -4.700000000000000000e+01 0.000000000000000000e+00 9.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 9.946822865425074545e-01 1.691515455211023921e-04 6.590900269598898298e-02 1.285747973740738927e-03 5.382711797199002035e+01 1.795667460840328999e+01 -1.472078667652256456e+01 2.299921363687564480e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00
1.100000000000000000e+01 9.946325150706148976e-01 1.860659178129688701e-04 6.590987764822160699e-02 1.285108119214862675e-03 5.382965363276267823e+01 1.795246603452992673e+01 -7.047794376800425198e+00 2.295382642868202439e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.100000000000000000e+01 0.000000000000000000e+00
1.200000000000000000e+01 9.945727435482015766e-01 2.029791702646902821e-04 6.591078066178454598e-02 1.284446448804425116e-03 5.383227070680526793e+01 1.794812279186990267e+01 8.710711690793147000e-01 2.290793483472339176e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.200000000000000000e+01 0.000000000000000000e+00
1.300000000000000000e+01 9.945229720281398844e-01 2.198778820259354933e-04 6.591170061646975387e-02 1.283774735474139820e-03 5.383493697282656854e+01 1.794369680003428869e+01 8.938275842399313831e+00 2.286218138304777270e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.300000000000000000e+01 0.000000000000000000e+00
1.400000000000000000e+01 9.944632004529602165e-01 2.367441518801770772e-04 6.591263814930771459e-02 1.283089353049535848e-03 5.383765428244647211e+01 1.793918688985366217e+01 1.715939318829992999e+01 2.281659480306172583e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.400000000000000000e+01 0.000000000000000000e+00
1.500000000000000000e+01 9.943834287812842732e-01 2.536887259190996938e-04 6.591359395096363372e-02 1.282390310474342422e-03 5.384042464311578868e+01 1.793458800716633306e+01 2.554046617730388391e+01 2.277120660463135238e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.500000000000000000e+01 0.000000000000000000e+00
1.600000000000000000e+01 9.942836569993199758e-01 2.705393350144890568e-04 6.591456875743649524e-02 1.281679331984732434e-03 5.384325019409673274e+01 1.792989865114176240e+01 3.408793431990004308e+01 2.272605071908530050e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.600000000000000000e+01 0.000000000000000000e+00
1.700000000000000000e+01 9.941838851714323022e-01 2.874212658217038937e-04 6.591556219236406611e-02 1.280952995997241411e-03 5.384612985064328683e+01 1.792511812605427579e+01 4.279848285076437264e+01 2.268121545824985219e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.700000000000000000e+01 0.000000000000000000e+00
1.800000000000000000e+01 9.940841132976219185e-01 3.042959261299100658e-04 6.591657057062760838e-02 1.280215598215748768e-03 5.384905293635323886e+01 1.792026718676930841e+01 5.163978668223386137e+01 2.263693281106703026e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.800000000000000000e+01 0.000000000000000000e+00
1.900000000000000000e+01 9.939743413342115863e-01 3.211778569127043872e-04 6.591759433107322042e-02 1.279469063996605416e-03 5.385202072849745747e+01 1.791534167681085776e+01 6.061568135569956439e+01 2.259324401069014243e+01 -4.700000000000000000e+01 0.000000000000000000e+00 1.900000000000000000e+01 0.000000000000000000e+00
2.000000000000000000e+01 9.938345691823543548e-01 3.380128051612619924e-04 6.591863395799300862e-02 1.278710625279355379e-03 5.385503463637838450e+01 1.791033886065219960e+01 6.973040018570247867e+01 2.255019215132014310e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.000000000000000000e+01 0.000000000000000000e+00
2.100000000000000000e+01 9.936847969179093409e-01 3.548801952559565488e-04 6.591968995761068872e-02 1.277939110790757499e-03 5.385809613319165123e+01 1.790525686227604751e+01 7.898836802896437348e+01 2.250782324948439239e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.100000000000000000e+01 0.000000000000000000e+00
2.200000000000000000e+01 9.935250245339805053e-01 3.717067529358065526e-04 6.592076041314469392e-02 1.277157952561667033e-03 5.386119966738117881e+01 1.790010549411402252e+01 8.837276729457519764e+01 2.246627905366289824e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.200000000000000000e+01 0.000000000000000000e+00
2.300000000000000000e+01 9.933552520236711425e-01 3.885417011885211516e-04 6.592184490514810258e-02 1.276367157241686291e-03 5.386434402798963816e+01 1.789488637708927854e+01 9.787990859027459578e+01 2.242563765495945205e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.300000000000000000e+01 0.000000000000000000e+00
