# depth thinning sigma_thinning accu sigma_accu LIDIE sigma_LIDIE age sigma_age gas_age sigma_gas_age Ddepth sigma_Ddepth
0.000000000000000000e+00 9.996252145898164576e-01 2.922168865947958385e-05 1.242134843948091427e-01 1.128570955113941121e-01 5.526708482423984492e+01 5.526722091370231738e+01 -5.000000000000000000e+01 0.000000000000000000e+00 -5.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.988756436359628177e-01 8.757499300327373671e-05 1.242137404998553546e-01 1.128573331853224976e-01 5.526708482423984492e+01 5.526722091370231738e+01 -4.692607857615358569e+01 2.792886231425030896e+00 -5.000000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.981260725041263271e-01 1.459111490590799182e-04 1.242139999221162500e-01 1.128575752429408913e-01 5.526708482423984492e+01 5.526722091370231738e+01 -4.374998031598457260e+01 5.678611631384694824e+00 -5.000000000000000000e+01 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 9.973765011943065417e-01 2.042569450440062575e-04 1.337591337043320394e-01 1.218027583593805641e-01 5.526708482423984492e+01 5.526722091370231738e+01 -4.047044108345613722e+01 8.658326834434847186e+00 -5.000000000000000000e+01 0.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 9.966269297065042387e-01 2.625313736160735556e-04 1.349889072137478163e-01 1.229598998993901571e-01 5.526708482423984492e+01 5.526722091370231738e+01 -3.732780184380156641e+01 1.151966072516280981e+01 -5.000000000000000000e+01 0.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 9.958773580407184189e-01 3.208083120189392863e-04 1.329331647552219331e-01 1.210261625873428337e-01 5.526708482423984492e+01 5.526722091370231738e+01 -3.411660684789253395e+01 1.444438620470932833e+01 -5.000000000000000000e+01 0.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 9.951277861969498595e-01 3.790606093962557537e-04 1.128811538838201678e-01 1.023220716298129246e-01 5.526708482423984492e+01 5.526722091370231738e+01 -3.075622878834564133e+01 1.750368804349990981e+01 -5.000000000000000000e+01 0.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 9.943782141751982273e-01 4.372933489220492964e-04 1.324203519281921815e-01 1.205442463969406131e-01 5.526708482423984492e+01 5.526722091370231738e+01 -2.668087947844868069e+01 2.119593463072874329e+01 -5.000000000000000000e+01 0.000000000000000000e+00 7.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 9.936286419754635224e-01 4.955019570998623344e-04 1.439688297138580209e-01 1.314411185796774129e-01 5.526708482423984492e+01 5.526722091370231738e+01 -2.310565826087019303e+01 2.445031784600761782e+01 -5.000000000000000000e+01 0.000000000000000000e+00 8.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 9.928790695977457448e-01 5.536963819806074152e-04 1.010041957175279170e-01 9.138263532530484234e-02 5.526708482423984492e+01 5.526722091370231738e+01 -1.972371711371998515e+01 2.753650669917897531e+01 -5.000000000000000000e+01 0.000000000000000000e+00 9.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 9.921294970420447834e-01 6.118537353461347712e-04 1.490084895736805137e-01 1.362249422116629527e-01 5.526708482423984492e+01 5.526722091370231738e+01 -1.476948037843413175e+01 3.201082969497267783e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00
1.100000000000000000e+01 9.913799243083608603e-01 6.700050890376173327e-04 1.069367311800944881e-01 6.240731696575710537e-03 5.532532389980845977e+01 2.210075471772664457e+01 -1.132049545785862676e+01 3.516074000902246155e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.100000000000000000e+01 0.000000000000000000e+00
1.200000000000000000e+01 9.906303513966936425e-01 7.281036968344051924e-04 1.078929075617306721e-01 6.487847400597240854e-03 5.531744433951558193e+01 2.207987110160562594e+01 -6.388006362420227902e+00 3.509613410368124420e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.200000000000000000e+01 0.000000000000000000e+00
